Date,Open,High,Low,Close,Adj Close,Volume
2024-12-31,222.12,223.28,220.15,220.96,220.96,26208298
2024-12-30,220.67,221.81,217.85,220.68,220.68,25706127
2024-12-27,224.275,225.44,220.2,222.39,222.39,26956047
2024-12-26,222.42,226.1407,221.465,225.68,225.68,20085707
2024-12-24,222.02,223.63,220.48,223.39,223.39,13399595
2024-12-23,221.74,222.4,219.38,221.41,221.41,29606797
2024-12-20,218.6,224.655,218.07,221.92,221.92,53882241
2024-12-19,223.25,224.43,219.3299,219.86,219.86,51871702
2024-12-18,232.24,233.076,218.92,220.84,220.84,52267523
2024-12-17,232.67,233.44,230.55,231.07,231.07,33064333
2024-12-16,232.91,235.63,232.35,234.44,234.44,32293518
2024-12-13,234.37,234.86,231.88,233.07,233.07,23972916
2024-12-12,237.16,237.65,234.35,234.68,234.68,21454510
2024-12-11,238.71,239.285,236.83,237.77,237.77,23156933
2024-12-10,237.58,238.815,235.92,236.7,236.7,19946465
2024-12-09,240.55,241.38,237.65,237.73,237.73,16684336
2024-12-06,239.79,239.89,238.38,238.93,238.93,20760908
2024-12-05,240.485,240.86,237.735,238.08,238.08,20227006
2024-12-04,240.28,241.67,239.21,240.89,240.89,19903043
2024-12-03,241.54,242.14,239.37,240.03,240.03,21376746
2024-12-02,242.24,242.66,240.01,241.75,241.75,25274751
2024-11-29,242.37,243.475,241.54,241.87,241.87,16782715
2024-11-27,241.96,243.69,240.44,240.95,240.95,19472811
2024-11-26,241.16,241.6068,239.429,240.62,240.62,22581359
2024-11-25,241.49,244.98,241.39,242.4,242.4,33533998
2024-11-22,235.64,239.235,235.33,238.77,238.77,22693129
2024-11-21,232.16,235.57,231.11,234.44,234.44,28679385
2024-11-20,230.205,230.93,228.04,230.93,230.93,24222668
2024-11-19,226.59,230.82,226.4,230.63,230.63,26009367
2024-11-18,229.21,230.6,228.13,228.93,228.93,29398814
2024-11-15,232.22,232.29,227.81,228.48,228.48,37930047
2024-11-14,235.91,236.43,231.21,231.94,231.94,29272066
