Date,Open,High,Low,Close,Adj Close,Volume
2024-12-31,75.2596,75.75,74.975,75.55,75.55,1273741
2024-12-30,74.876,75.27,74.455,74.82,74.82,1621041
2024-12-27,74.1,74.4,73.69,73.85,73.85,1461964
2024-12-26,74.27,74.38,72.9,73.13,73.13,1811084
2024-12-24,73.7,74.025,73.45,73.65,73.65,1011796
2024-12-23,72.88,73.07,72.1,73.06,73.06,1894517
2024-12-20,72.27,73.41,71.958,73.1,73.1,1599767
2024-12-19,73.95,74.11,72.61,72.61,72.61,2099508
2024-12-18,73.66,74.38,72.915,72.94,72.94,2338081
2024-12-17,72.95,73.35,72.31,73.3,73.3,2140061
2024-12-16,74.145,74.3,73.61,73.7,73.7,1948208
2024-12-13,73.65,74.5,73.545,74.21,74.21,2713366
2024-12-12,72.912,73.58,72.19,73.21,73.21,2830056
2024-12-11,72.55,73.59,72.15,73.33,73.33,3061916
2024-12-10,71.55,72.13,71.32,71.4,71.4,2476325
2024-12-09,71.25,71.97,71.155,71.17,71.17,2061720
2024-12-06,70.61,70.71,69.99,70.24,70.24,3083839
2024-12-05,71.98,72.17,71.22,71.47,71.47,1525152
2024-12-04,73.43,73.45,71.52,71.88,71.88,2784128
2024-12-03,72.19,73.32,71.8,73.04,73.04,3199133
2024-12-02,71.9,71.95,70.7,71.04,71.04,3553891
2024-11-29,72.33,72.74,71.51,71.61,71.61,1757580
2024-11-27,71.65,72.3,71.16,71.72,71.72,1575912
2024-11-26,72.54,73.34,71.01,71.61,71.61,2882244
2024-11-25,72.95,73.44,71.73,72.1,72.1,3299046
2024-11-22,73.111,74.58,72.9401,74.25,74.25,2573797
2024-11-21,73.14,73.26,72.39,73.2,73.2,1848051
2024-11-20,72.84,72.84,71.6,72.02,72.02,1362418
2024-11-19,72.43,72.71,71.4,72.31,72.31,3959359
2024-11-18,70.96,72.31,70.9,72.07,72.07,3116167
2024-11-15,70.88,71.35,69.56,69.75,69.75,3629407
2024-11-14,72.09,72.09,70.82,71.29,71.29,2088942
2024-11-13,70.32,71.5,69.6,70.73,70.73,3449062
2024-11-12,71.79,71.85,70.5,70.69,70.69,1905517
2024-11-11,71.21,71.45,70.64,70.94,70.94,3272080
2024-11-08,73.84,73.94,72.66,73.13,73.13,2984658
2024-11-07,74.01,75.56,73.51,74.66,74.66,3133378
2024-11-06,73.23,75.32,73.23,74.54,74.54,4179125
2024-11-05,74.92,75.34,74.05,74.73,74.73,2839498
2024-11-04,73.86,74.4299,73.28,74.29,74.29,3240180
2024-11-01,73.63,73.8,71.95,72.02,72.02,4533438
2024-10-31,71.81,73.35,71.44,73.08,73.08,9183461
2024-10-30,70.67,71.63,70.36,71.36,71.36,3934377
2024-10-29,70.12,70.31,69.14,69.66,69.66,4015858
2024-10-28,69.77,70.64,69.6696,70.43,70.43,7429077
2024-10-25,73.8,74.49,73.36,74.23,74.23,3676078
2024-10-24,73.75,74.08,72.27,73.06,73.06,2218561
2024-10-23,73.49,74.03,72.91,73.55,73.55,2413358
2024-10-22,73.19,74.65,72.995,73.98,73.98,3782109
2024-10-21,72.4,72.8701,71.71,72.26,72.26,2941385
2024-10-18,71.74,71.92,70.57,71.38,71.38,4342284
2024-10-17,72.05,72.84,71.31,72.62,72.62,2541657
2024-10-16,72.38,72.67,71.5295,72.4,72.4,2195339
2024-10-15,72.27,72.95,71.67,72.76,72.76,4116689
2024-10-14,76.06,76.65,75.48,75.93,75.93,3943168
2024-10-11,77.01,77.88,76.69,77.49,77.49,3642400
2024-10-10,76.15,78.04,75.76,77.77,77.77,4533086
2024-10-09,74.11,75.36,73.41,75.25,75.25,6501526
2024-10-08,76.83,76.935,74.57,75.79,75.79,8048022
2024-10-07,77.42,79.31,77.29,79.2,79.2,4353493
2024-10-04,76.21,77.4,75.76,76.35,76.35,5852614
2024-10-03,73.74,75.9,73.45,75.73,75.73,7082186
2024-10-02,73.95,74.21,71.62,72.76,72.76,4093039
2024-10-01,69.34,73.73,69.29,72.11,72.11,13945029
2024-09-30,69.91,70.87,69.415,69.92,69.92,2343220
2024-09-27,69.3,70.32,68.8,70.27,70.27,3214666
2024-09-26,69.22,70.118,68.6,69.01,69.01,4593811
2024-09-25,72.35,72.8,70.94,71.48,71.48,3469203
2024-09-24,73.85,73.86,72.83,73.29,73.29,2387026
2024-09-23,72.96,73.53,71.17,72.25,72.25,2837650
2024-09-20,72.42,73.14,72.05,72.92,72.92,1353349
2024-09-19,72.22,73.21,71.785,72.75,72.75,4126932
2024-09-18,71.01,71.94,70.58,70.66,70.66,2443776
2024-09-17,70.9,72.29,70.84,71.72,71.72,1952287
2024-09-16,70.61,71.22,70.13,70.88,70.88,3317934
2024-09-13,70.2,70.93,69.12,69.84,69.84,2452990
2024-09-12,69.07,70.46,68.53,69.89,69.89,4037281
2024-09-11,67.85,68.62,66.37,67.85,67.85,3143156
2024-09-10,69.45,69.49,66.02,66.96,66.96,4038070
2024-09-09,68.49,69.66,68.05,69.27,69.27,2685243
2024-09-06,70.55,70.87,67.91,68.93,68.93,3708585
2024-09-05,70.73,71.53,69.51,69.89,69.89,3482551
2024-09-04,70.62,71.4995,69.5531,69.61,69.61,4701375
2024-09-03,72.15,72.15,70.85,71.09,71.09,4967787
2024-08-30,75.19,75.22,74.12,74.34,74.34,3341403
2024-08-29,76.77,77.65,76.1,76.77,76.77,4061981
2024-08-28,75.4,76.23,74.8,75.48,75.48,1852485
2024-08-27,77.39,77.6,76.14,76.49,76.49,3537466
2024-08-26,78.07,78.32,77.62,77.83,77.83,4196836
2024-08-23,74.99,75.76,74.87,75.55,75.55,3008631
2024-08-22,72.83,74.17,72.71,73.58,73.58,3170333
2024-08-21,74.32,74.81,72.11,72.6,72.6,2769786
2024-08-20,74.74,75.02,73.68,73.83,73.83,2761744
2024-08-19,76.25,76.38,74.09,74.38,74.38,4881178
2024-08-16,76.23,76.65,75.69,76.32,76.32,2475999
2024-08-15,77.29,78,77.15,77.41,77.41,1640527
2024-08-14,77.6,77.75,76.3,76.59,76.59,1721743
2024-08-13,78.38,78.46,77.31,77.64,77.64,2300791
2024-08-12,77.19,79.17,76.93,78.63,78.63,4745020
2024-08-09,75.67,76.35,75.25,76.22,76.22,2923566
2024-08-08,74.53,75.7996,74.44,75.36,75.36,3034288
2024-08-07,73.94,75.17,73.69,74.69,74.69,4943996
2024-08-06,71.77,73.39,71.73,72.45,72.45,3377897
2024-08-05,71.94,73.26,71.83,73.22,73.22,3939476
2024-08-02,73.81,73.82,72.43,73.39,73.39,5001256
2024-08-01,77.79,77.85,75.64,76.29,76.29,3633457
2024-07-31,76.33,77.91,75.9,77.74,77.74,4582761
2024-07-30,74.45,74.77,74,74.46,74.46,3304616
2024-07-29,76.73,76.99,74.74,75.19,75.19,1955426
2024-07-26,76.82,76.94,75.55,76.11,76.11,2125111
2024-07-25,76.17,77.78,75.54,77.46,77.46,1824043
2024-07-24,76.87,77.48,76.3,76.81,76.81,2129232
2024-07-23,76.96,77.13,75.72,76.62,76.62,3124053
2024-07-22,77.17,77.75,76.86,77.62,77.62,1556643
2024-07-19,79.51,80.22,77.86,78,78,2636016
2024-07-18,80.59,81.09,79.84,79.9,79.9,1425543
2024-07-17,80,80.71,79.95,80.62,80.62,2459321
2024-07-16,78.68,79.41,78.68,79.06,79.06,2012427
2024-07-15,80.26,80.38,79.57,80.12,80.12,2206681
2024-07-12,81.25,81.32,80.115,80.25,80.25,3004028
2024-07-11,79.93,80.99,79.73,80.94,80.94,3002748
2024-07-10,79.42,80.6916,79.18,80.48,80.48,2291913
2024-07-09,80.12,80.65,79.46,79.77,79.77,1919038
2024-07-08,80.591,81.02,80.29,80.42,80.42,2029643
2024-07-05,82.011,82.6,81.23,81.31,81.31,1979724
2024-07-03,80.95,81.6,80.5723,81.27,81.27,734654
2024-07-02,81.98,82.02,80.83,81.11,81.11,1182549
2024-07-01,80.21,81.69,79.82,81.54,81.54,2272780
2024-06-28,80.03,80.04,79.08,79.59,79.59,1359774
2024-06-27,79.7,80.03,79.225,79.92,79.92,1785656
2024-06-26,78.94,79.55,78.27,78.75,78.75,1581934
2024-06-25,79.47,79.835,78.75,78.9,78.9,1272285
2024-06-24,78.52,79.8,78.49,79.7,79.7,1402400
2024-06-21,79.44,79.785,78.4003,78.65,78.65,1538762
2024-06-20,79.28,79.53,78.85,79.41,79.41,1446534
2024-06-18,77.88,78.83,77.76,78.67,78.67,1757267
2024-06-17,76.656,77.9799,76.55,77.79,77.79,2589760
2024-06-14,76.62,76.78,75.84,76.08,76.08,2347094
