Date,Open,High,Low,Close,Adj Close,Volume
2024-12-31,291.9353,292.1371,289.07,289.81,289.81,3893235
2024-12-30,290.565,292.52,288.78,290.82,290.82,4968522
2024-12-27,295.93,295.93,291.99,294.07,294.07,3636790
2024-12-26,296.37,297.78,295.54,297.29,297.29,4309083
2024-12-24,294.42,297.17,294.25,297.12,297.12,2642219
2024-12-23,292.5905,294.1897,290.5401,294,294,3704509
2024-12-20,288.13,295.71,288.11,293.28,293.28,3836973
2024-12-19,292.955,293.7,289.87,289.98,289.98,4826208
2024-12-18,299.73,300.53,289.95,290.39,290.39,3890871
2024-12-17,299.96,300.18,299,299.66,299.66,3059944
2024-12-16,300.74,301.75,300.43,301.15,301.15,2545400
2024-12-13,301,301.2749,299.1001,299.93,299.93,2279188
2024-12-12,301.4632,301.55,300.04,300.08,300.08,2119999
2024-12-11,300.961,302.2902,300.855,301.8,301.8,2235306
2024-12-10,300.97,301,299.07,299.39,299.39,2557081
2024-12-09,302.55,302.65,300.33,300.52,300.52,2953904
2024-12-06,302.6016,302.945,302.015,302.45,302.45,2332856
2024-12-05,302.65,302.75,301.52,301.61,301.61,2183413
2024-12-04,301.3735,302.6,301.17,302.45,302.45,3258052
2024-12-03,300.3,300.57,299.6401,300.43,300.43,2101218
2024-12-02,300.285,300.75,299.8,300.43,300.43,3583654
2024-11-29,299.05,300.38,298.71,299.86,299.86,1811915
2024-11-27,299.16,299.47,297.4017,298.2,298.2,2730493
2024-11-26,298.44,299.385,297.87,299.05,299.05,3292833
2024-11-25,298.89,299.47,296.9,297.96,297.96,3384633
2024-11-22,295.205,296.81,295.13,296.51,296.51,2639817
2024-11-21,294.44,295.77,291.95,295.05,295.05,2560659
2024-11-20,292.95,293.16,290.135,293,293,2670801
2024-11-19,289.57,293.09,289.45,292.83,292.83,2342168
2024-11-18,290.82,292.24,290.13,291.49,291.49,2992125
2024-11-15,292.545,292.61,289.35,290.31,290.31,4025769
2024-11-14,296.56,296.61,293.72,294.04,294.04,3280837
2024-11-13,296.78,297.55,295.62,296.23,296.23,2829056
2024-11-12,297.42,297.78,295.09,296.37,296.37,3474754
2024-11-11,297.9,298.12,296.76,297.54,297.54,3200894
2024-11-08,295.61,297.37,295.5137,296.71,296.71,4142370
2024-11-07,294.02,295.9,294.01,295.33,295.33,4108983
2024-11-06,292.3,293.61,290.21,293.28,293.28,5676826
2024-11-05,282.11,285.3,282.01,285.3,285.3,2060261
2024-11-04,282.17,283.07,280.865,281.72,281.72,2383851
2024-11-01,282.52,284.49,281.96,282.23,282.23,2449367
2024-10-31,284.78,284.78,280.96,281.03,281.03,3027448
2024-10-30,286.98,288.1,286.0322,286.37,286.37,2204072
2024-10-29,286.27,287.65,285.45,287.08,287.08,2503356
2024-10-28,287.06,287.48,286.5625,286.7,286.7,1874278
2024-10-25,287.03,288.25,285.05,285.54,285.54,2813744
2024-10-24,286.12,286.175,284.47,285.81,285.81,2235978
2024-10-23,286.77,286.9052,283.34,285.05,285.05,2637314
2024-10-22,286.9,288.2499,286.47,287.65,287.65,2029044
2024-10-21,288.51,288.8,286.6395,287.98,287.98,2320088
2024-10-18,288.7,289.262,287.91,288.89,288.89,1822120
2024-10-17,289.47,289.6977,287.73,287.76,287.76,2810628
2024-10-16,286.72,288.11,286.23,287.82,287.82,2215254
2024-10-15,288.32,288.6898,285.91,286.36,286.36,3260844
2024-10-14,286.86,288.73,286.6144,288.34,288.34,1997049
2024-10-11,283.97,286.39,283.95,286.11,286.11,1799457
2024-10-10,283.78,284.61,283.03,283.91,283.91,2547233
2024-10-09,282.55,284.74,282.26,284.5,284.5,2123833
2024-10-08,281.28,282.88,280.88,282.53,282.53,2164584
2024-10-07,282.04,282.13,279.54,280.17,280.17,11465573
2024-10-04,282.46,282.89,280.345,282.75,282.75,2337305
2024-10-03,279.83,280.95,278.9,280.04,280.04,2369213
2024-10-02,280.24,281.17,278.87,280.64,280.64,3637510
2024-10-01,283,283.05,279.16,280.58,280.58,4874903
2024-09-30,281.6067,283.3856,280.37,283.16,283.16,2829889
2024-09-27,283.18,283.435,281.463,282.05,282.05,2644098
2024-09-26,284.27,284.35,282.09,283.2,283.2,2616759
2024-09-25,282.95,283.15,281.5,281.94,281.94,1744156
2024-09-24,282.76,282.89,281.14,282.87,282.87,1952093
2024-09-23,282.2,282.555,281.46,282.16,282.16,1920984
2024-09-20,281.68,282.02,280.0781,281.46,281.46,2293603
2024-09-19,282.1,283,280.6,282.05,282.05,2660156
2024-09-18,278.37,281.06,277.09,277.35,277.35,3389903
2024-09-17,278.98,279.78,276.97,278.05,278.05,2133620
2024-09-16,277.12,277.8805,276.25,277.77,277.77,2065742
2024-09-13,276,277.6999,275.76,277.22,277.22,2474737
2024-09-12,273.43,275.55,272.15,275.3,275.3,2422039
2024-09-11,270.22,273.3568,265.92,273.03,273.03,2640245
2024-09-10,270.13,270.49,267.67,270.34,270.34,1874652
2024-09-09,268.39,270.04693,267.58,269.29,269.29,2969812
2024-09-06,271.18,272.04,266.01,266.44,266.44,3599857
2024-09-05,271.8,273.02,269.83,270.94,270.94,3997837
2024-09-04,271.005,273.536,270.98,271.78,271.78,2946704
2024-09-03,276.8,277,271.16,272.39,272.39,3818921
2024-08-30,276.72,278.53,275.085,278.38,278.38,2029264
2024-08-29,276.48,278.31,275.2442,275.72,275.72,3018022
2024-08-28,276.8,277.08,273.9195,275.45,275.45,1856390
2024-08-27,276.1,277.38,275.61,277.14,277.14,1787938
2024-08-26,278.13,278.53,276.255,276.89,276.89,2263765
2024-08-23,275.74,277.83,275.33,277.59,277.59,2281830
2024-08-22,277.17,277.59,273.61,274.12,274.12,2554281
2024-08-21,275.77,276.8997,274.95,276.46,276.46,1983746
2024-08-20,275.68,276.31,274.4255,275.08,275.08,2041866
2024-08-19,273.62,275.79,273.02,275.75,275.75,2660025
2024-08-16,271.9,273.54,271.725,273.17,273.17,2571935
2024-08-15,270.94,272.77,270.58,272.52,272.52,3031559
2024-08-14,267.65,268.47,266.1313,267.88,267.88,2335278
2024-08-13,264.41,267.21,264.3,267.12,267.12,2316211
2024-08-12,263.63,263.99,261.76,262.75,262.75,2548507
2024-08-09,261.74,263.64,260.8,262.92,262.92,2667356
2024-08-08,258.68,262.17,257.5,261.79,261.79,2922782
2024-08-07,261.07,262.35,255.5626,255.8,255.8,3398498
2024-08-06,256.57,261.36,255.53,257.77,257.77,5255153
2024-08-05,251.21,258.33,251,255.18,255.18,8463448
2024-08-02,264.5,264.77,260.69,262.9,262.9,4744241
2024-08-01,273.25,274.51,266.6121,268.3,268.3,3767282
2024-07-31,271.94,274.2896,271.1,272.57,272.57,2541526
2024-07-30,270.5,271.15,266.87,268.59,268.59,2174149
2024-07-29,270.73,271.08,268.7704,269.71,269.71,2814350
2024-07-26,268.64,270.99,268.25,269.69,269.69,2757918
2024-07-25,267.7,271.07,265.945,266.5,266.5,3237817
2024-07-24,271.34,271.61,267.08,267.53,267.53,3050710
2024-07-23,273.87,275.1395,273.56,273.69,273.69,2229532
2024-07-22,272.78,274.1493,271.9,273.89,273.89,2527293
2024-07-19,272.56,273.33,270.5,271.06,271.06,2414152
2024-07-18,276,276.55,271.65,272.76,272.76,2904164
2024-07-17,276.24,277.27,274.985,275.16,275.16,3346145
2024-07-16,277.6,279.21,277.4,279.1,279.1,3261052
2024-07-15,276.8,278.3,275.88,276.82,276.82,3386136
2024-07-12,274.35,277.357,274.3389,275.64,275.64,2729482
2024-07-11,275.75,276.26,273.44,273.83,273.83,3598789
2024-07-10,273.21,275.21,272.85,275.06,275.06,1992606
2024-07-09,272.82,273.18,272.311,272.42,272.42,2703874
2024-07-08,272.65,272.92,271.91,272.49,272.49,2335017
2024-07-05,270.82,272.26,270.4,272.12,272.12,4237515
2024-07-03,269.61,270.8995,269.61,270.71,270.71,1948509
2024-07-02,267.46,269.63,267.25,269.6,269.6,4207844
2024-07-01,268.49,268.49,266.73,268.05,268.05,2881044
2024-06-28,269.37,270.41,266.95,267.51,267.51,2822789
2024-06-27,268.62,269.589,268.49,269.38,269.38,2655402
2024-06-26,267.98,269.1,267.63,268.73,268.73,1857531
2024-06-25,268.37,268.74,267.49,268.74,268.74,2074841
2024-06-24,268.34,269.779,267.78,267.86,267.86,2226503
2024-06-21,268.42,268.81,267.4612,268.31,268.31,2679439
2024-06-20,269.94,270.19,267.75,268.72,268.72,3168616
2024-06-18,268.86,269.54,268.66,269.4,269.4,2024347
2024-06-17,266.41,269.4,266.04,268.72,268.72,2452013
2024-06-14,265.86,266.69,265.24,266.69,266.69,2205602
2024-06-13,267.47,267.8,265.5,266.89,266.89,2285244
2024-06-12,267.09,268.215,266.21,266.77,266.77,2762566
2024-06-11,263,264.35,261.88,264.28,264.28,3017331
2024-06-10,262.33,264,262.2,263.83,263.83,2142670
2024-06-07,262.89,264.3,262.2458,262.95,262.95,1838937
2024-06-06,263.65,263.9614,262.6,263.45,263.45,2190196
2024-06-05,261.8,263.68,260.7,263.68,263.68,2384042
2024-06-04,259.84,260.89,258.95,260.49,260.49,2489841
2024-06-03,261.66,261.66,258.0772,260.52,260.52,6203385
2024-05-31,259,260.6,256.25,260.44,260.44,3407439
2024-05-30,259.28,259.62,257.75,258.45,258.45,3031239
2024-05-29,259.62,260.369,259.43,259.72,259.72,3178970
2024-05-28,262.47,262.47,260.49,261.87,261.87,3078124
2024-05-24,261.04,262.21,260.4468,261.87,261.87,3123692
2024-05-23,263.86,263.92,259.43,259.99,259.99,6603017
2024-05-22,262.86,263.065,261.1345,262.22,262.22,2356623
2024-05-21,262.2,263.16,262.13,263.11,263.11,2241920
2024-05-20,262.43,263.355,262.21,262.57,262.57,2366057
2024-05-17,262.15,262.3,261.24,262.3,262.3,2208726
2024-05-16,262.68,263.28,261.86,261.93,261.93,2444983
2024-05-15,260.85,262.73,260.4428,262.64,262.64,2508701
2024-05-14,258.23,259.67,258.083,259.45,259.45,2466842
2024-05-13,259.08,259.08,257.56,258.19,258.19,1948407
2024-05-10,258.67,259.03,257.45,258.05,258.05,1922464
2024-05-09,256.3,257.88,256,257.81,257.81,2418707
2024-05-08,255.48,256.545,255.33,256.3,256.3,2600126
2024-05-07,256.59,257.17,256.14,256.48,256.48,1829855
2024-05-06,254.8,256.25,254.62,256.25,256.25,2811467
2024-05-03,253.6,254.4,252.2,253.53,253.53,2350197
2024-05-02,250.13,250.92,247.61,250.56,250.56,2580191
2024-05-01,248.46,251.975,247.595,247.99,247.99,3509546
2024-04-30,251.94,252.33,248.56,248.61,248.61,2502735
2024-04-29,252.75,253.12,251.35,252.77,252.77,2086019
2024-04-26,250.86,252.5399,250.435,251.78,251.78,3238126
2024-04-25,247.31,249.8853,246.4332,249.46,249.46,2473299
2024-04-24,251.21,251.51,249.3,250.65,250.65,2285857
2024-04-23,248.57,250.95,248.272,250.59,250.59,2399022
2024-04-22,246.59,248.88,245.38,247.64,247.64,3111954
2024-04-19,247.07,247.69,244.57,245.23,245.23,3467673
2024-04-18,248.32,249.5316,246.65,247.17,247.17,2991692
2024-04-17,250.44,250.93,246.98,247.68,247.68,2861393
2024-04-16,249.89,250.65,248.47,249.14,249.14,3466819
2024-04-15,255,255.205,249.26,249.89,249.89,4804258
2024-04-12,255.27,255.6371,252.16,253,253,3574390
2024-04-11,255.75,257.43,253.88,256.7,256.7,3434244
2024-04-10,254.72,256.04,253.92,254.97,254.97,3348888
2024-04-09,258.35,258.5,255.4,257.85,257.85,2944127
2024-04-08,257.8,258.14,257.1,257.48,257.48,3223782
2024-04-05,255.11,258.2,255,257.18,257.18,4178477
2024-04-04,259.65,259.9858,254.44,254.61,254.61,3121253
2024-04-03,256.73,258.44,256.6575,257.7,257.7,3241579
2024-04-02,257.5,257.5,256.19,257.3,257.3,3213359
2024-04-01,260.32,260.38,258.6799,259.7,259.7,3292260
2024-03-28,259.8,260.58,259.76,259.9,259.9,2669112
2024-03-27,259.13,259.85,258.01,259.73,259.73,4030246
2024-03-26,258.8,258.83,257.28,257.46,257.46,2591495
2024-03-25,258.1,258.49,257.79,257.92,257.92,2714406
2024-03-22,259.19,259.45,258.34,258.5,258.5,2465312
2024-03-21,260.65,261.07,260.04,260.14,260.14,3723188
2024-03-20,256.46,259.2,256.19,259.07,259.07,2480790
2024-03-19,254.43,256.55,254.1716,256.47,256.47,2900211
2024-03-18,255.58,256.21,254.81,255,255,3455369
2024-03-15,253.6,254.6482,252.7,253.71,253.71,3216805
2024-03-14,256.69,256.87,253.72,255.22,255.22,3664126
2024-03-13,256.57,256.87,255.47,256.21,256.21,2667352
2024-03-12,254.99,256.74,253.65,256.53,256.53,4380105
2024-03-11,253.89,254.35,252.703,254.02,254.02,3038679
2024-03-08,256.42,257.71,254.0401,254.43,254.43,3673475
2024-03-07,255,256.37,254.65,255.91,255.91,2940907
2024-03-06,253.87,254.51,252.68,253.44,253.44,2501680
2024-03-05,253.68,253.8599,250.91,251.95,251.95,3134811
