Date,Open,High,Low,Close,Adj Close,Volume
2024-12-31,44.68,46.26,44.37,45.8,45.8,3119715
2024-12-30,46.985,48.49,44.14,45.53,45.53,5877384
2024-12-27,43.24,46.87,43.088,44.43,44.43,5905669
2024-12-26,42.85,44.0158,42.255,42.55,42.55,3623184
2024-12-24,43.91,44.05,42.18,42.28,42.28,2884268
2024-12-23,47.03,48.82,44.38,44.38,44.38,4045915
2024-12-20,55.75,55.98,47.625,48.08,48.08,10973882
2024-12-19,49.2597,56.85,48.89,56.14,56.14,11428162
2024-12-18,43.985,51.89,43.38,51.72,51.72,8144114
2024-12-17,43.771,44.5,43.24,44.29,44.29,4126272
2024-12-16,42.3733,43.46,42.3,43.22,43.22,3032275
2024-12-13,41.9504,43.03,41.75,42.5,42.5,2852963
2024-12-12,42.26,42.92,41.8388,42.47,42.47,3060360
2024-12-11,41.57,42.33,41.38,42.13,42.13,3377394
2024-12-10,42.45,42.86,42.02,42.46,42.46,2799792
2024-12-09,41.6742,43.07,41.59,42.89,42.89,3579438
2024-12-06,41.64,42.18,41.47,41.76,41.76,3308943
2024-12-05,42.58,42.7,42.11,42.42,42.42,2279386
2024-12-04,41.67,42.39,41.3,42.33,42.33,2802377
2024-12-03,42.58,43.24,41.71,42.07,42.07,2801421
2024-12-02,42.61,42.74,42.14,42.3,42.3,1993409
2024-11-29,43,43.08,42.42,42.585,42.585,2111757
2024-11-27,43.72,44.82,43.32,43.45,43.45,2624954
2024-11-26,44.06,44.06,43.23,43.61,43.61,2997238
2024-11-25,44.31,46.2463,43.88,43.88,43.88,3644270
2024-11-22,47.28,47.56,45.72,45.76,45.76,4059510
2024-11-21,46.58,49.27,46.43,47.65,47.65,5656180
2024-11-20,46.475,49.83,46.34,48.03,48.03,7870478
2024-11-19,47.4889,47.62,45.21,46.38,46.38,6250695
2024-11-18,46.24,46.64,44.15,44.89,44.89,4356053
2024-11-15,44.19,48.63,43.95,46.59,46.59,8239885
2024-11-14,43.27,43.84,42.78,43.48,43.48,3466660
2024-11-13,44.24,44.78,43.35,43.535,43.535,3026143
2024-11-12,44.84,45.73,44.36,44.52,44.52,3233376
2024-11-11,44.37,44.75,43.92,44.65,44.65,3168902
2024-11-08,45.03,45.61,44.57,44.77,44.77,3230181
2024-11-07,45.74,45.74,44.84,45.09,45.09,4386697
2024-11-06,46,48.49,46,46.74,46.74,7838976
2024-11-05,53.69,53.69,51.41,51.55,51.55,6254737
2024-11-04,56.37,56.7102,54.15,54.47,54.47,4552875
2024-11-01,56.31,57.05,54.96,56.85,56.85,6145103
2024-10-31,55.2099,58,55.1,57.87,57.87,7310092
2024-10-30,52.95,53.92,52.12,53.76,53.76,3054689
2024-10-29,52.84,53.25,51.71,52.48,52.48,2947222
2024-10-28,53.06,53.38,52.01,52.71,52.71,3930978
2024-10-25,52.19,55.39,51.72,55.29,55.29,4707778
2024-10-24,52.53,55.25,52.465,52.81,52.81,3981106
2024-10-23,51.75,55.09,51.61,53.72,53.72,5477638
2024-10-22,52.04,52.57,50.81,51.15,51.15,2799325
2024-10-21,51.6,52.71,51.09,51.35,51.35,2856604
2024-10-18,52.09,52.39,51.14,51.21,51.21,2487258
2024-10-17,52.81,53.5,52.34,52.45,52.45,2145717
2024-10-16,53.72,54.61,52.97,53.33,53.33,2986468
2024-10-15,51.23,54.075,50.86,53.85,53.85,5534039
2024-10-14,53.31,53.52,51.59,52.15,52.15,2861634
2024-10-11,54.81,54.9,53.63,54.07,54.07,3442159
2024-10-10,54.28,55.45,54.185,54.71,54.71,3561582
2024-10-09,55,55.28,53.72,54.03,54.03,3568310
2024-10-08,55.68,56.36,54.675,55.39,55.39,4079355
2024-10-07,53.97,58.16,53.85,57.72,57.72,5437847
2024-10-04,53.89,54.7529,52.72,53,53,4292721
2024-10-03,53.9,55.4,53.01,55.09,55.09,4488266
2024-10-02,53.5302,55.12,52.39,52.71,52.71,4441547
2024-10-01,49.5,54.06,49.5,53.43,53.43,11330766
2024-09-30,50.955,52.17,49.53,49.6,49.6,3843865
2024-09-27,48.4,50.768,48.34,50.73,50.73,3286524
2024-09-26,48.15,48.95,48,48.48,48.48,2758277
2024-09-25,48.03,48.59,47.44,48.41,48.41,2901565
2024-09-24,47.45,49.3575,47.145,47.76,47.76,2841264
2024-09-23,47.06,48.15,46.63,47.73,47.73,3110051
2024-09-20,48.06,48.25,46.93,47.43,47.43,3999247
2024-09-19,47.97,48.73,47.35,47.72,47.72,4122401
2024-09-18,50.1,50.9312,47.56,49.88,49.88,7650426
2024-09-17,49.15,51.07,48.7,50.3,50.3,4633502
2024-09-16,49.07,50.45,48.96,49.24,49.24,4137897
2024-09-13,49.2,49.37,47.71,48.79,48.79,4374728
2024-09-12,49.85,51.02,48.88,48.94,48.94,4299332
2024-09-11,50.77,55.705,49.29,49.33,49.33,7399757
2024-09-10,51.95,54.91,51.4,51.52,51.52,5116697
2024-09-09,54.98,55.55,51.945,52.45,52.45,6143031
2024-09-06,51.34,58.58,50.7,56.11,56.11,9679951
2024-09-05,53.99,54.64,51.4,52.24,52.24,7605084
2024-09-04,55.03,56.21,51.24,54.97,54.97,8746039
2024-09-03,45.62,55.2,45.52,53.54,53.54,10683512
2024-08-30,45.04,46,44.36,44.5,44.5,4818121
