Date,Open,High,Low,Close,Adj Close,Volume
2024-12-31,132.31,132.53,131.36,131.76,131.76,6010140
2024-12-30,131.74,132.535,130.64,131.92,131.92,8725559
2024-12-27,133.48,134.26,132.485,133.26,133.26,6060009
2024-12-26,133.81,134.59,133.51,134.26,134.26,4749605
2024-12-24,133.01,134.215,132.73,134.16,134.16,2972912
2024-12-23,132.84,133.325,132.015,133.12,133.12,8022266
2024-12-20,131.97,134.81,131.81,133.82,133.82,11849876
2024-12-19,133.2,134.05,132.22,132.27,132.27,12507788
2024-12-18,136.36,136.785,132.35,132.44,132.44,13428143
2024-12-17,136.88,137.27,135.965,136.29,136.29,6861679
2024-12-16,137.58,138.06,137.11,137.55,137.55,6573467
2024-12-13,137.81,138.095,137.29,137.43,137.43,6709920
2024-12-12,138.805,138.95,137.7243,137.79,137.79,7081577
2024-12-11,139.93,139.93,138.62,138.68,138.68,6168901
2024-12-10,139.13,139.52,138.19,139,139,7382815
2024-12-09,140.6,140.75,139.265,139.34,139.34,7434370
2024-12-06,141.43,141.6649,140.33,140.56,140.56,5432813
2024-12-05,142.61,142.77,140.885,140.92,140.92,5233992
2024-12-04,142.05,142.66,141.66,142.65,142.65,5727725
2024-12-03,143.04,143.22,141.555,142.03,142.03,4528073
2024-12-02,143.9,144.11,142.74,142.93,142.93,6217462
2024-11-29,143.65,144.26,143.4,143.99,143.99,3091515
2024-11-27,144.14,144.51,143.14,143.18,143.18,5561250
2024-11-26,143.41,143.965,142.83,143.71,143.71,6524874
2024-11-25,143.35,143.93,142.915,143.54,143.54,7411720
2024-11-22,141.145,142.69,140.93,142.65,142.65,7924330
2024-11-21,139.68,141.18,139.08,140.69,140.69,9677406
2024-11-20,139.165,139.28,137.9312,138.95,138.95,6527692
2024-11-19,138.01,139.16,137.82,138.8,138.8,5555054
2024-11-18,139.065,139.49,138.58,138.92,138.92,6414204
2024-11-15,139.37,140.21,138.75,139.11,139.11,6628806
2024-11-14,142.12,142.31,139.705,139.86,139.86,9977368
2024-11-13,142.19,143.06,142.07,142.26,142.26,6033427
2024-11-12,143.5,143.67,141.38,141.96,141.96,7161103
2024-11-11,142.86,143.715,142.86,143.19,143.19,8236970
2024-11-08,140.99,142.525,140.72,142.09,142.09,8270291
2024-11-07,141.83,141.89,140.39,140.58,140.58,10062802
2024-11-06,140.67,141.68,139.17,141.43,141.43,17738786
2024-11-05,134.33,136.13,133.99,136.1,136.1,7469389
2024-11-04,134.15,134.875,133.49,133.86,133.86,6744634
2024-11-01,134.51,135.24,133.975,134.01,134.01,7482335
2024-10-31,134.32,134.67,133.41,133.83,133.83,16640117
