Date,Open,High,Low,Close,Adj Close,Volume
2024-12-31,116.893,116.907,115.163,115.541,115.541,9439630
2024-12-30,116.322,117.439,115.571,116.509,116.509,7999812
2024-12-27,118.796,118.95,116.849,118.01,118.01,8780836
2024-12-26,119.137,120.038,118.756,119.601,119.601,7195492
2024-12-24,118.711,119.526,118.542,119.521,119.521,4682282
2024-12-23,117.27,118.349,116.768,118.299,118.299,8022956
2024-12-20,114.59,118.001,114.195,117.059,117.059,15042408
2024-12-19,116.324,116.761,115.188,115.337,115.337,13491191
2024-12-18,119.42,119.782,114.945,115.213,115.213,17060437
2024-12-17,118.929,119.519,118.472,119.053,119.053,8209035
2024-12-16,118.8,119.881,118.492,119.776,119.776,9517624
2024-12-13,119.151,119.619,117.648,118.591,118.591,8745230
2024-12-12,117.881,118.519,117.704,118.085,118.085,7275226
2024-12-11,118.075,119.127,117.574,118.75,118.75,8757960
2024-12-10,118.289,118.621,116.681,117.053,117.053,11323456
2024-12-09,119.083,119.459,118.399,118.7,118.7,8095732
2024-12-06,119.166,119.995,119.097,119.479,119.479,6707233
2024-12-05,119.41,119.573,118.854,119.018,119.018,5682328
2024-12-04,118.944,119.683,118.596,119.623,119.623,10925935
2024-12-03,116.572,117.506,116.33,117.476,117.476,5619811
2024-12-02,116.036,117.49,116.006,117.053,117.053,9472226
2024-11-29,115.168,116.195,115.04,115.952,115.952,4201162
2024-11-27,115.689,115.744,113.868,114.886,114.886,6419475
2024-11-26,116.438,116.825,115.967,116.462,116.462,6278969
2024-11-25,116.731,116.965,115.357,115.882,115.882,11224981
2024-11-22,115.705,116.155,115.203,115.887,115.887,7146670
2024-11-21,115.789,116.37,114.003,115.828,115.828,10675133
2024-11-20,114.846,114.9,113.135,114.662,114.662,8944676
2024-11-19,113.191,114.856,113.115,114.762,114.762,6961183
2024-11-18,113.472,114.311,112.971,113.829,113.829,6220718
2024-11-15,114.905,115.06,113.085,113.462,113.462,11318253
2024-11-14,116.905,117.138,116.16,116.35,116.35,6653967
2024-11-13,116.927,117.609,116.384,116.745,116.745,6379678
2024-11-12,116.997,117.301,116.23,117.152,117.152,7590080
2024-11-11,117.638,117.714,116.305,117.004,117.004,7324430
2024-11-08,117.634,118.041,117.226,117.654,117.654,7293354
2024-11-07,116.567,117.917,116.512,117.783,117.783,10545305
2024-11-06,114.732,115.977,114.39,115.764,115.764,11054178
2024-11-05,111.338,112.648,111.338,112.558,112.558,7330232
2024-11-04,111.184,111.795,110.524,110.996,110.996,6361669
2024-11-01,110.371,111.908,110.222,111.08,111.08,11656857
2024-10-31,112.658,112.658,110.212,110.251,110.251,12205559
2024-10-30,114.692,115,113.833,113.907,113.907,8406810
2024-10-29,114.429,116.081,114.003,115.749,115.749,7510337
2024-10-28,115.064,115.064,114.186,114.211,114.211,5945588
2024-10-25,114.301,115.528,114.081,114.245,114.245,8380251
2024-10-24,113.784,113.937,112.981,113.656,113.656,4870774
2024-10-23,114.542,114.716,112.356,113.322,113.322,6131541
2024-10-22,114.478,115.361,114.151,114.97,114.97,6217745
2024-10-21,114.195,115.104,113.987,115.09,115.09,6372165
2024-10-18,114.742,114.975,114.311,114.552,114.552,4572780
2024-10-17,115.387,115.451,114.146,114.146,114.146,6098828
2024-10-16,113.804,113.973,112.575,113.8,113.8,5804188
2024-10-15,116.086,116.367,113.025,113.446,113.446,14290953
2024-10-14,115.232,116.235,115.179,115.997,115.997,9887367
2024-10-11,114.032,114.762,113.863,114.502,114.502,8918588
2024-10-10,113.572,114.6,113.254,114.305,114.305,5737055
2024-10-09,113.158,114.492,112.807,114.335,114.335,7639464
2024-10-08,111.795,113.258,111.539,113.07,113.07,7926716
2024-10-07,111.264,112.003,110.718,110.996,110.996,4465296
2024-10-04,111.963,112.043,110.588,111.765,111.765,5054834
2024-10-03,109.756,111.343,109.742,110.534,110.534,5830429
2024-10-02,109.294,110.576,108.674,110.079,110.079,4567990
2024-10-01,111.666,111.731,108.619,109.27,109.27,11384241
2024-09-30,111.17,112.068,110.628,111.998,111.998,5545209
2024-09-27,112.881,112.916,111.254,111.671,111.671,6141741
2024-09-26,113.422,113.546,111.537,112.723,112.723,9317537
2024-09-25,110.713,111.735,110.664,111.249,111.249,6159657
2024-09-24,110.638,111.156,109.448,110.932,110.932,7081126
2024-09-23,110.297,110.441,109.84,110.177,110.177,7549505
2024-09-20,110.302,110.694,109.212,110.197,110.197,14633027
2024-09-19,110.564,111.423,109.959,110.738,110.738,14068988
2024-09-18,108.807,109.57,107.439,107.543,107.543,12865051
2024-09-17,109.837,110.005,107.984,108.534,108.534,7057596
2024-09-16,108.376,109.093,107.742,108.747,108.747,6964566
2024-09-13,108.752,109.435,108.311,109.163,109.163,8125238
2024-09-12,107.648,109.079,106.89,108.618,108.618,10708798
2024-09-11,104.528,107.89,102.874,107.727,107.727,12892359
2024-09-10,103.344,104.394,102.359,104.172,104.172,10220916
2024-09-09,102.235,102.75,101.289,102.636,102.636,11027723
2024-09-06,103.587,103.835,100.517,100.983,100.983,12561535
2024-09-05,103.082,104.959,102.988,103.671,103.671,8961162
2024-09-04,103.042,105.013,102.716,103.831,103.831,12449379
2024-09-03,107.954,108.034,103.503,104.097,104.097,14908720
2024-08-30,108.851,109.53,107.678,109.109,109.109,10145735
2024-08-29,108.687,110.217,107.4,107.678,107.678,13412266
2024-08-28,110.035,110.247,107.747,108.657,108.657,9089420
2024-08-27,108.836,110.411,108.301,110.178,110.178,7730127
2024-08-26,110.807,111.224,108.955,109.514,109.514,6329567
2024-08-23,110.223,111.389,109.49,110.906,110.906,10784377
2024-08-22,112.333,112.595,108.911,109.139,109.139,9171586
2024-08-21,111.124,112.095,110.772,111.709,111.709,7611718
2024-08-20,111.154,111.823,110.401,111.054,111.054,7291497
2024-08-19,109.38,111.451,108.935,111.446,111.446,13130119
2024-08-16,108.876,109.85,108.579,109.639,109.639,6771232
2024-08-15,107.772,109.564,107.539,109.455,109.455,9571957
2024-08-14,106.47,106.934,104.964,106.395,106.395,9008851
2024-08-13,103.934,105.848,103.805,105.816,105.816,10096353
2024-08-12,102.146,103.453,101.67,102.661,102.661,8663273
2024-08-09,101.314,102.413,100.7,101.83,101.83,9627829
2024-08-08,99.4917,101.626,98.0504,101.373,101.373,14582575
